ticker,correlation,beta,kappa,pef,stock_var,market_neutral_var,var_reduction,stock_sharpe,market_neutral_sharpe,sharpe_improvement,n_days
AAPL,0.815611150340604,1.1896772175483803,2.1276097940867627,4.179869554570809,0.0004467053297207005,0.00014954731853392494,0.6652215485599233,0.05238613523462226,0.04335749057338605,0.8276520185961508,1005
MSFT,0.8280326764911766,1.173518028979762,2.008558943197746,4.5479287418973104,0.0004217098395947796,0.00013256950079930624,0.6856381133371418,0.049439191858009254,0.03874574077589719,0.7837049781714888,1005
GOOGL,0.7720081049808148,1.124912894381026,2.123215471715544,3.5759701913972064,0.00044578271353929827,0.00018009777019884304,0.5959965141560689,0.04045551431583349,0.022994328985189213,0.5683855309729603,1005
AMZN,0.6388655660453045,1.0462401105829513,2.6819073471383863,2.3164996286857935,0.0005630836580624273,0.00033326150702788144,0.4081492114783878,0.028253967125957367,0.008930475084062936,0.31607862514493995,1005
TSLA,0.5127890704392476,1.5175137170435378,8.75765294586489,1.4514645994737931,0.001838725436231239,0.0013552277455253251,0.2629526307619475,0.06973771411867677,0.06123839220401107,0.8781244550086356,1005
META,0.6344588519134026,1.2896862031067906,4.132008304331073,2.0104740782325465,0.0008675416597182736,0.0005183231449330713,0.402538034771273,0.029998243734025223,0.011335892406709564,0.3778852024544335,1005
NVDA,0.7166411322195506,1.6886817963094733,5.55254620390409,2.063675386925847,0.0011657927077126685,0.0005670712863025766,0.5135745123889195,0.07630060719273946,0.07500805884451715,0.9830597894855901,1005
BRK-B,0.8233572221473139,0.829990633504979,1.0161779901951795,5.660293480989638,0.00021335309013272258,6.871737873768364e-05,0.6779171152621414,0.032240635473898736,0.008249689684932386,0.2558786315366253,1005
UNH,0.6575450236178588,0.8716644025689774,1.75730696451067,2.7192962087235117,0.00036895787431697185,0.00020943323397399025,0.4323654580846103,0.03896595677353693,0.0225070367652281,0.5776077024371533,1005
JNJ,0.5830336077646203,0.5229658702618121,0.8045619965863524,2.378710817509419,0.00016892295427701695,0.0001115012805546751,0.3399281877830291,0.014057613298317631,-0.006716999697953008,-0.47781935349984883,1005
V,0.8029765215337428,1.0475595926169736,1.7019695356583993,4.452447846109915,0.0003573394260140678,0.00012693722185772323,0.6447712941344291,0.022964414675265835,-0.006563912952514416,-0.28582975204607225,1005
PG,0.6117503540368125,0.589320778440917,0.9280151131589301,2.5728357999945324,0.00019484272833374068,0.00012192507879101983,0.3742384956641658,0.0205811154798348,0.000132868064291528,0.006455824244400698,1005
JPM,0.7363060603020456,1.1013822706998146,2.2374812899466665,3.1288575298435815,0.00046977355535183493,0.00021508741276556113,0.5421466144375191,0.021279406138438654,-0.0049739716903817325,-0.23374579431504242,1005
HD,0.7657681449830215,1.0187176588292546,1.7697547080632816,3.7821676502821595,0.00037157135795640715,0.00015368159712000307,0.586400851870738,0.034194088860576746,0.013314721885039908,0.38938665508326487,1005
MA,0.8007330102754241,1.173478988064667,2.1477076790335445,3.9309507922603477,0.00045092500963888515,0.00016180390892134083,0.6411733537447425,0.02383839406927097,-0.004946550612123237,-0.2075035171307793,1005
DIS,0.6892310980555717,1.0696337897409334,2.4084658821756113,2.6855266627299206,0.0005056728677450527,0.00026545827818740605,0.475039506526889,-0.014081584365309223,-0.05127513473532119,3.6412901705606635,1005
PYPL,0.659698453913723,1.3521966716551062,4.201349323678875,2.08307609928747,0.000882100251710573,0.0004982084137757961,0.43520205009615637,-0.007382694153246095,-0.039204779759715855,5.310362172118144,1005
ADBE,0.7354968020635902,1.2597401852035408,2.9335965707413334,2.781664314298611,0.000615927425716242,0.0002827380689365337,0.5409555458457678,0.03251595852950465,0.011657091317142694,0.35850369616399796,1005
